Filippino Word,Knowledge Level,English Word,Example Context,Pronuncation
Magandang araw,4,Good day,Magandang araw sa lahat!,mah-gahn-DANG AH-row
Magandang umaga,4,Good morning,"Magandang umaga, kumain ka na ba?",mah-gahn-DANG oo-MAH-gah
Magandang tanghali,4,Good noon,"Magandang tanghali, anong balita?",mah-gahn-DANG tahng-HA-lee
Magandang hapon,4,Good afternoon,"Magandang hapon, kamusta ka?",mah-gahn-DANG HAH-pon
Magandang Gabi,2,Good evening,"Magandang gabi, pahinga ka na.",mah-gahn-DANG gah-BEE
Magandang,4,Good,Magandang bulaklak ang nakita ko.,mah-gahn-DANG
Oo,5,Yes,"Oo, pupunta ako bukas.",OH-oh
Hindi,5,No,Hindi ko gusto ang lasa nito.,hin-DEE
Kumusta,4,How are you?,Kumusta ang pamilya mo?,koo-MOOS-ta
Salamat,5,Thank you,Salamat sa tulong mo.,sah-LAH-maht
Maraming,4,Very much,Maraming tao sa palengke.,mah-RAH-ming
Walang anuman,4,You’re welcome,"Walang anuman, masaya akong tumulong.",wah-LAHNG ah-noo-MAHN
Paalam,2,Goodbye,"Paalam na, magkita tayo muli.",pah-AH-lahm
Mabuti,2,I'm good,Mabuti ang pakiramdam ko ngayon.,mah-BOO-tee
Ikaw,3,You,Ikaw ang napili namin.,ee-KAW
Babae,4,Girl,Babae ang aking guro.,bah-BAH-eh
Lalaki,4,Boy,Lalaki ang nagdala ng sulat.,lah-LAH-kee
Batang,3,Young,Batang lalaki ang tumakbo.,bah-TANG
Mabuhay,3,Welcome,Mabuhay ang bagong kasal!,mah-BOO-high
Anong,1,what is,Anong oras na?,ah-NONG
Pangalan,2,Name,Pangalan niya ay Maria.,pah-NGAH-lahn
Mo,1,Your,Kaibigan mo ba siya?,mo
Ako,1,I,Ako ay masaya ngayon.,ah-KOH
Ang,1,Often translates to “the” or “a.”,Ang bahay nila ay malaki.,ahng
Ko,1,"""My"" or ""Mine""",Mahal ko ang aking pamilya.,ko
Ay,1,"""Is"" or ""am""",Ang pagkain ay masarap.,aye
Fun,1,huraa,no idea,jubii
